"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn1757055","Clinical Disease Specific Survival Data from METABRIC for independent research","3","application/zip","6380","273980","1365804086102","273980","1376941898010","syn2160410","https://www.synapse.org/#!Synapse:syn1757055.3","34eac5a6da7dbb1941f08f6cc79a465b"
"syn1757057","Clinical Overall Survival Data from METABRIC for independent research","1","application/zip","11795","273980","1365804119477","273980","1376941933659","syn2160410","https://www.synapse.org/#!Synapse:syn1757057.1","7411dff2611a31a5fbdb7c1ab07f4ef5"
"syn2133500","Complete_METABRIC_Clinical_Survival_Data__from_METABRIC.txt","2","text/plain","13580","273980","1376441837899","273995","1388790675191","syn2133309","https://www.synapse.org/#!Synapse:syn2133500.2","79f96500733d71b539f7b350845ee49a"
"syn2133554","Clinical_Overall_Survival_Data_from_METABRIC.txt","1","text/plain","29429","273980","1376441912982","273980","1376441912982","syn2133309","https://www.synapse.org/#!Synapse:syn2133554.1","deb734f87daa17c6645f36dd06759490"
"syn1757053","Clinical Features Data from METABRIC for independent research","1","application/zip","37252","273980","1365804052792","273980","1376941916974","syn2160410","https://www.synapse.org/#!Synapse:syn1757053.1","bfe70ce2bb94d6842be867798b039f78"
"syn3053648","METABRIC_DataRequestInstructions.pdf","1","application/pdf","145548","273995","1420681261165","273995","1420681261165","syn1688369","https://www.synapse.org/#!Synapse:syn3053648.1","9ca49f02cb57f8279adac262866a4a5b"
"syn2133322","Complete_METABRIC_Clinical_Features_Data.txt","1","text/plain","206572","273980","1376441172962","273980","1376441172962","syn2133309","https://www.synapse.org/#!Synapse:syn2133322.1","01e5a68020f3233b51188771296eda5c"
